timestamp,server,cpu_pct,memory_mb,disk_io_mbps,network_mbps,request_count,error_count
2025-10-01T00:00:00,web-01,83.9,3153,14.99,89.17,100,2
2025-10-01T00:00:00,web-02,14.1,5772,35.33,89.38,289,2
2025-10-01T00:00:00,worker-01,38.5,3067,29.86,23.17,456,8
2025-10-01T00:00:00,db-primary,16.5,6030,15.43,95.28,356,3
2025-10-01T00:05:00,web-01,94.6,4195,15.38,77.69,74,0
2025-10-01T00:05:00,web-02,26.9,6603,18.22,17.06,471,6
2025-10-01T00:05:00,worker-01,90.0,4044,35.8,7.45,94,0
2025-10-01T00:05:00,db-primary,62.5,610,37.05,59.92,403,5
2025-10-01T00:10:00,web-01,32.1,1751,33.47,26.87,7,0
2025-10-01T00:10:00,web-02,59.8,2052,4.64,42.62,467,5
2025-10-01T00:10:00,worker-01,52.8,3464,18.21,96.65,375,2
2025-10-01T00:10:00,db-primary,87.3,4680,13.77,35.37,244,3
2025-10-01T00:15:00,web-01,90.0,4868,44.31,78.2,63,1
2025-10-01T00:15:00,web-02,56.9,832,43.77,31.24,499,1
2025-10-01T00:15:00,worker-01,72.3,4491,37.85,20.36,351,7
2025-10-01T00:15:00,db-primary,87.4,3454,23.47,49.91,480,2
2025-10-01T00:20:00,web-01,51.1,1394,22.93,18.62,233,1
2025-10-01T00:20:00,web-02,87.6,658,28.31,24.19,403,7
2025-10-01T00:20:00,worker-01,17.1,6456,11.01,50.14,212,4
2025-10-01T00:20:00,db-primary,9.4,4701,9.18,16.24,372,1
2025-10-01T00:25:00,web-01,42.4,7702,10.93,73.86,64,1
2025-10-01T00:25:00,web-02,29.0,5630,4.98,2.31,21,1
2025-10-01T00:25:00,worker-01,28.6,4006,48.72,31.3,296,5
2025-10-01T00:25:00,db-primary,60.2,1079,4.9,52.1,367,3
2025-10-01T00:30:00,web-01,60.4,2533,6.78,74.52,117,0
2025-10-01T00:30:00,web-02,60.7,1589,34.87,88.69,410,3
2025-10-01T00:30:00,worker-01,34.7,2083,19.5,80.67,290,0
2025-10-01T00:30:00,db-primary,61.5,6581,8.88,14.88,168,0
2025-10-01T00:35:00,web-01,94.8,5498,31.05,49.32,411,1
2025-10-01T00:35:00,web-02,82.1,4249,49.2,67.27,472,3
2025-10-01T00:35:00,worker-01,66.8,3527,49.28,4.67,338,2
2025-10-01T00:35:00,db-primary,77.6,1990,16.62,11.52,454,9
2025-10-01T00:40:00,web-01,90.8,5437,35.65,59.15,229,0
2025-10-01T00:40:00,web-02,81.9,1360,28.28,32.96,493,6
2025-10-01T00:40:00,worker-01,27.3,3151,49.66,78.7,454,0
2025-10-01T00:40:00,db-primary,40.5,3676,38.77,50.65,64,0
2025-10-01T00:45:00,web-01,59.6,1595,16.85,58.99,276,2
